Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,0,rep4
m2,MARK_PIX,89.2,15.4,T,0,rep2
C12,C0603,24.9,1.9,T,90,100n-16V-X7R
C1,C0805,30.35,8.8,T,90,10u-16V-X7R
C13,C0603,21.7,-0.6,T,0,100n-16V-X7R
C2,C0805,32.02,8.8,T,90,10u-16V-X7R
C22,C0603,14.0,5.6,T,0,100n-16V-X7R
C3,C0805,33.8,4.9,T,270,10u-16V-X7R
C25,C0603,15.07,12.3,T,90,100n-16V-X7R
C4,C0805,32.1,4.9,T,270,10u-16V-X7R
C31,C0603,37.92,4.68,T,180,100n-16V-X7R
C5,C0805,35.5,4.9,T,270,10u-16V-X7R
C32,C0603,44.1,3.7,T,270,100n-16V-X7R
C7,C0805,49.62,16.13,T,270,10u-16V-X7R
C37,C0603,53.95,11.75,T,180,100n-16V-X7R
C8,C0805,23.9,11.7,T,180,10u-16V-X7R
C39,C0603,28.92,8.9,T,90,100n-16V-X7R
C11,C0805,28.8,5.1,T,0,10u-16V-X7R
C41,C0603,65.7,15.9,T,0,100n-16V-X7R
C14,C0805,8.8,5.5,T,0,10u-16V-X7R
C44,C0603,61.4,15.6,T,270,100n-16V-X7R
C18,C0805,8.8,2.1,T,0,10u-16V-X7R
C45,C0603,9.05,11.85,T,0,100n-16V-X7R
C34,C0805,35.65,7.8,T,90,10u-16V-X7R
C46,C0603,38.7,7.6,T,90,100n-16V-X7R
C35,C0805,37.27,7.83,T,90,10u-16V-X7R
C47,C0603,45.45,7.75,T,90,100n-16V-X7R
C40,C0805,60.0,15.8,T,270,10u-16V-X7R
C48,C0603,50.57,13.43,T,90,100n-16V-X7R
R18,R0603,19.3,12.3,T,270,100K-5%
C49,C0603,52.92,16.03,T,270,100n-16V-X7R
R21,R0603,15.8,7.4,T,90,100K-5%
C50,C0603,59.45,12.33,T,90,100n-16V-X7R
R24,R0603,38.07,5.83,T,180,100K-5%
R7,R0603,19.7,0.8,T,270,10K-5%
R25,R0603,39.7,3.9,T,270,100K-5%
R9,R0603,33.6,1.7,T,270,10K-5%
R27,R0603,57.57,14.9,T,90,100K-5%
R16,R0603,16.2,15.6,T,180,10K-5%
R30,R0603,63.2,17.1,T,180,100K-5%
R17,R0603,16.9,10.6,T,180,10K-5%
R31,R0603,65.7,17.1,T,180,100K-5%
R19,R0603,18.6,15.3,T,180,10K-5%
R32,R0603,65.7,14.6,T,0,100K-5%
R20,R0603,17.6,9.45,T,0,10K-5%
R35,R0603,37.82,2.73,T,0,100K-5%
R166,R0603,20.9,8.3,T,90,10K-5%
R36,R0603,55.4,10.6,T,0,100K-5%
R167,R0603,35.55,15.45,T,180,10K-5%
C16,C0805,9.17,13.3,T,0,10u-25V-X7R
C10,C0805,24.8,14.0,T,90,4.7u-16V-X7R
C17,C0805,9.2,16.73,T,0,10u-25V-X7R
C36,C0805,48.9,13.13,T,90,4.7u-16V-X7R
C19,C0805,9.22,14.95,T,0,10u-25V-X7R
C38,C0805,51.35,16.18,T,270,4.7u-16V-X7R
C20,C0805,11.5,17.53,T,270,10u-25V-X7R
C43,C0805,58.07,12.28,T,90,4.7u-16V-X7R
C27,C0805,48.5,7.7,T,90,22u-6.3V-X7R
C21,C0603,58.0,5.8,T,90,1.2n-16V-X7R
C28,C0805,50.17,7.68,T,90,22u-6.3V-X7R
C23,C0603,11.9,3.1,T,270,1.2n-16V-X7R
C29,C0805,46.95,7.73,T,90,22u-6.3V-X7R
C24,C0603,18.6,14.1,T,0,1.2n-16V-X7R
C30,C0805,52.4,8.63,T,180,22u-6.3V-X7R
VD3,SOD-323,62.45,5.3,T,180,RB751V40T1G
C6,C0805,20.77,11.1,T,90,1u-16V-X7R
VD5,SOD-323,62.45,7.3,T,180,RB751V40T1G
C15,C0805,8.8,3.8,T,0,1u-16V-X7R
R4,R0603,23.7,0.7,T,270,10-5%
R3,R0603,20.0,2.6,T,0,0-5%
R6,R0603,26.1,3.2,T,90,10-5%
R5,R0603,23.1,2.6,T,0,0-5%
R12,R0603,11.9,5.6,T,90,68K-1%
R33,R0603,66.12,11.75,T,0,10K-1%
R23,R0603,48.1,3.7,T,90,68K-1%
R34,R0603,64.35,12.3,T,90,10K-1%
VT2,SOT-23,55.55,6.4,T,90,IRLML2402
DA4,DCK,17.2,12.3,T,90,LTC8725YC5
DA2,DSBGA-12_P0.4,21.9,1.1,T,90,INA231AIYFF
C33,C0603,46.9,3.7,T,90,5.1p-50V-NP0
C9,C0603,26.9,14.4,T,180,47n-25V-X7R
C42,C0603,66.15,13.0,T,180,47p-25V-NP0
R165,R0603,19.37,9.6,T,90,13K-5%
R14,R0603,59.2,5.8,T,270,2K-5%
R22,R0603,46.4,5.7,T,0,300K-1%
R10,R0603,14.4,8.4,T,90,160K-1%
R26,R0603,45.7,3.7,T,90,53.6K-1%
R11,R0603,13.2,8.4,T,270,18K-1%
R2,R0603,22.7,14.8,T,180,17.8K-1%
R1,R0603,22.7,13.2,T,0,4.22K-1%
