Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,0,rep4
m2,MARK_PIX,89.2,15.4,T,0,rep2
VD1,SMB,86.5,14.18,T,90,SSL24
L1,SWPA5040S,31.5,12.7,T,0,SWPA5040S1R5NT
VT1,CSD25402Q3A,31.095,1.505,T,270,CSD25402Q3A
DA1,VQFN-24,25.8,8.2,T,270,BQ25601RTW
DA20,WDFN-6L,63.26,15.02,T,180,RT5751AHGQW
L2,SWPA6045S,3.2,6.63,T,90,SWPA6045S3R3NT
DA6,DRV_(S-PWSON-N6),52.9,13.7,T,270,TPS61240DRV
DA5,VSON-14,41.885,6.8,T,90,TPS63020DSJ
DA3,SON-10,10.295,8.4,T,90,TPS61087DRC
L5,L1008,61.7,12.18,T,180,LQM2HPN2R2MJ0L
L4,L1008,55.8,14.0,T,270,LQM2HPN1R0MJ0
R8,R1206,27.7,2.3,T,90,5m-1%-25ppm
