Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,270,rep1
m2,MARK_PIX,52.6,106.6,T,270,rep3
R2,R0603,24.28,29.8,T,90,1K-5%    
DD1,SSOP-28,20.905,90.1,T,0,FT232RL
R3,R0603,26.25,29.8,T,90,1K-5%    
R4,R0603,28.23,29.8,T,90,1K-5%    
R5,R0603,30.2,29.8,T,90,1K-5%    
R10,R0603,17.0,2.3,T,0,1K-5%    
C3,C0603,19.33,84.7,T,0,100n-16V-X7R
C4,C0603,21.18,95.5,T,180,100n-16V-X7R
C5,C0603,26.8,92.7,T,90,100n-16V-X7R
C6,C0603,16.7,98.3,T,270,100n-16V-X7R
VD1,LC191KGCT,13.9,2.3,T,270,L-C191KGCT
C1,C0603,21.18,98.5,T,180,10n-50V-X7R
C2,C0805,21.08,97.0,T,180,10u-16V-X7R
R11,R0603,25.13,84.3,T,270,10K-5%    
R9,R0603,22.3,25.0,T,90,4.7K-5%    
