Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,270,rep1
m2,MARK_PIX,29.8,129.1,T,270,rep3
R1,R0603,1.7,44.4,T,270,0-5%
R37,R0603,14.5,58.0,T,270,1K-5%
R2,R0603,4.2,44.4,T,270,0-5%
R38,R0603,14.3,34.9,T,270,1K-5%
R3,R0603,26.5,49.52,T,180,0-5%
R39,R0603,9.8,62.9,T,270,1K-5%
R4,R0603,20.0,51.8,T,270,0-5%
R40,R0603,21.6,36.6,T,270,1K-5%
R5,R0603,26.5,52.03,T,180,0-5%
R41,R0603,25.3,93.6,T,90,1K-5%
R6,R0603,18.9,56.7,T,0,0-5%
VD2,LC191KGCT,12.38,36.6,T,180,L-C191KGCT
R7,R0603,26.5,54.55,T,180,0-5%
VD3,LC191KGCT,11.6,62.9,T,0,L-C191KGCT
R8,R0603,18.9,58.1,T,0,0-5%
VD4,LC191KGCT,23.5,36.6,T,0,L-C191KGCT
R9,R0603,26.5,57.07,T,180,0-5%
VD5,LC191KGCT,23.5,93.6,T,0,L-C191KGCT
R10,R0603,6.7,60.4,T,0,0-5%
VD1,LC191KRCT,16.5,60.7,T,180,L-C191KRCT
R11,R0603,2.6,63.9,T,0,0-5%
R12,R0603,26.5,62.1,T,180,0-5%
R13,R0603,20.8,21.8,T,0,0-5%
R14,R0603,6.7,23.4,T,0,0-5%
R15,R0603,6.7,26.1,T,0,0-5%
R16,R0603,26.5,29.0,T,180,0-5%
R17,R0603,26.5,31.5,T,180,0-5%
R18,R0603,26.5,34.0,T,180,0-5%
R19,R0603,21.0,94.3,T,0,0-5%
R20,R0603,26.5,98.7,T,180,0-5%
R21,R0603,6.8,106.9,T,0,0-5%
R22,R0603,6.8,109.27,T,0,0-5%
R23,R0603,6.8,111.63,T,0,0-5%
R24,R0603,6.8,114.0,T,0,0-5%
R25,R0603,26.5,109.3,T,180,0-5%
R26,R0603,20.5,113.7,T,0,0-5%
R27,R0603,9.8,127.6,T,270,0-5%
R28,R0603,8.5,28.3,T,270,0-5%
R29,R0603,21.6,9.8,T,90,0-5%
R30,R0603,8.3,55.6,T,270,0-5%
R31,R0603,14.5,51.8,T,90,0-5%
R32,R0603,8.5,53.1,T,270,0-5%
R33,R0603,9.5,13.9,T,90,0-5%
R34,R0603,8.5,50.6,T,270,0-5%
R35,R0603,14.4,45.4,T,90,0-5%
R36,R0603,8.5,44.5,T,90,0-5%
