Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,0,rep1
m2,MARK_PIX,134.8,28.4,T,0,rep3
R1,R0603,36.0,6.6,T,270,0-5%
R2,R0603,1.2,11.4,T,270,0-5%
R3,R0603,33.0,6.6,T,270,0-5%
R4,R0603,1.2,17.1,T,270,0-5%
R5,R0603,28.8,6.6,T,270,0-5%
R6,R0603,60.7,7.5,T,180,0-5%
R7,R0603,121.0,28.5,T,180,0-5%
R8,R0603,121.0,26.9,T,180,0-5%
R9,R0603,121.0,25.3,T,180,0-5%
R10,R0603,50.7,7.5,T,180,0-5%
R11,R0603,111.4,6.8,T,180,0-5%
R12,R0603,77.4,6.63,T,270,0-5%
R13,R0603,111.4,9.13,T,180,0-5%
R14,R0603,111.4,11.45,T,180,0-5%
R15,R0603,73.9,6.63,T,270,0-5%
R16,R0603,70.8,6.63,T,270,0-5%
R17,R0603,68.1,6.6,T,270,0-5%
R18,R0603,65.4,6.63,T,270,0-5%
R19,R0603,111.4,13.78,T,180,0-5%
R20,R0603,111.4,16.1,T,180,0-5%
R21,R0603,102.5,6.6,T,270,0-5%
R22,R0603,104.8,6.6,T,270,0-5%
R23,R0603,104.5,16.6,T,180,0-5%
R24,R0603,108.5,6.6,T,270,0-5%
R25,R0603,107.1,6.6,T,270,0-5%
