Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,90,rep3
m2,MARK_PIX,28.7,17.4,T,90,rep1
R7,ERJP08,6.5,16.0,T,0,ERJP08D1503V
R11,ERJP08,20.6,15.3,T,90,ERJP08D1071V
R8,ERJP08,9.7,14.5,T,270,ERJP08D1503V
R12,ERJP08,20.5,12.2,T,0,ERJP08D1071V
R9,ERJP08,9.9,10.2,T,270,ERJP08D1503V
R17,ERJP08,21.9,7.4,T,90,ERJP08D1071V
R10,ERJP08,13.8,10.8,T,0,ERJP08D1503V
R18,ERJP08,19.7,7.4,T,270,ERJP08D1071V
R13,ERJP08,7.9,2.2,T,0,ERJP08D1503V
R14,ERJP08,12.4,2.5,T,0,ERJP08D1503V
R15,ERJP08,16.6,2.5,T,0,ERJP08D1503V
R16,ERJP08,21.0,2.5,T,0,ERJP08D1503V
