Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,270,rep1
m2,MARK_PIX,24.7,66.8,T,270,rep3
C1,C0805,7.13,48.5,T,90,10u-10V-X7R
R69,R0603,1.95,59.83,T,0,49.9-1%
C18,C0805,21.73,60.35,T,180,10u-10V-X7R
R70,R0603,1.95,58.02,T,0,49.9-1%
C39,C0805,11.38,10.43,T,90,10u-10V-X7R
R73,R0603,1.95,63.45,T,0,49.9-1%
C49,C0805,18.78,62.63,T,0,10u-10V-X7R
R77,R0603,1.95,61.65,T,0,49.9-1%
C66,C0805,11.42,62.08,T,90,10u-10V-X7R
L1,0603,4.45,57.27,T,90,BLM18AG601SN1
C68,C0805,7.08,60.13,T,180,10u-10V-X7R
R74,R0805,5.4,63.58,T,180,10-5%
