Designator,Footprint,Center-X(mm),Center-Y(mm),Layer,Rotation,Comment
m1,MARK_PIX,0.0,0.0,T,0,rep1
m2,MARK_PIX,66.8,24.7,T,0,rep3
C2,C0402,25.0,6.68,T,270,100n-16V-X7R
R32,R0402,36.6,2.75,T,90,10K-5%
C3,C0402,23.65,10.03,T,270,100n-16V-X7R
R33,R0402,11.53,1.35,T,0,10K-5%
C4,C0402,30.85,24.88,T,0,100n-16V-X7R
R34,R0402,35.38,2.75,T,90,10K-5%
C5,C0402,38.58,9.73,T,270,100n-16V-X7R
R35,R0402,34.15,2.73,T,90,10K-5%
C6,C0402,15.68,6.22,T,180,100n-16V-X7R
R40,R0402,10.58,4.78,T,180,10K-5%
C7,C0402,35.05,9.58,T,270,100n-16V-X7R
R47,R0402,49.58,9.08,T,0,10K-5%
C8,C0402,15.65,3.55,T,270,100n-16V-X7R
R54,R0402,45.13,1.9,T,90,10K-5%
C10,C0402,41.48,4.15,T,90,100n-16V-X7R
R59,R0402,7.5,1.2,T,90,10K-5%
C11,C0402,32.5,22.1,T,180,100n-16V-X7R
R60,R0402,39.03,14.75,T,90,10K-5%
C12,C0402,34.35,20.33,T,270,100n-16V-X7R
R61,R0402,34.28,24.88,T,0,10K-5%
C13,C0402,43.4,18.62,T,90,100n-16V-X7R
R66,R0402,12.73,5.82,T,270,10K-5%
C14,C0402,43.13,14.21,T,90,100n-16V-X7R
R84,R0402,64.5,5.2,T,90,10K-5%
C15,C0402,43.48,16.42,T,270,100n-16V-X7R
R85,R0402,10.8,6.27,T,0,10K-5%
C19,C0402,33.88,15.23,T,270,100n-16V-X7R
R21,R0402,63.48,17.95,T,270,4.7K-5%
C20,C0402,21.18,24.3,T,270,100n-16V-X7R
R30,R0402,46.63,14.37,T,0,4.7K-5%
C21,C0402,32.43,11.55,T,270,100n-16V-X7R
R38,R0402,46.45,16.02,T,270,4.7K-5%
C23,C0402,21.25,18.82,T,270,100n-16V-X7R
R43,R0402,54.45,7.55,T,90,4.7K-5%
C24,C0402,18.88,6.22,T,0,100n-16V-X7R
R45,R0402,53.15,10.7,T,90,4.7K-5%
C25,C0402,31.48,3.9,T,0,100n-16V-X7R
R53,R0402,47.9,10.35,T,90,4.7K-5%
C40,C0402,46.49,21.2,T,0,100n-16V-X7R
R55,R0402,4.79,4.07,T,90,4.7K-5%
C41,C0402,22.8,15.55,T,90,100n-16V-X7R
R56,R0402,6.78,4.08,T,0,4.7K-5%
C69,C0402,57.17,2.05,T,270,100n-16V-X7R
R57,R0402,3.58,4.05,T,90,4.7K-5%
C71,C0402,64.45,3.05,T,90,100n-16V-X7R
R58,R0402,3.85,6.27,T,180,4.7K-5%
R9,R0402,25.13,22.95,T,180,22-5%
R29,R0402,65.2,24.25,T,90,33-5%
R10,R0402,29.65,22.5,T,270,22-5%
R31,R0402,63.55,24.95,T,180,33-5%
R11,R0402,27.73,22.05,T,180,22-5%
R37,R0402,63.45,20.07,T,90,33-5%
R12,R0402,27.7,23.26,T,180,22-5%
R49,R0402,54.63,5.9,T,0,33-5%
R13,R0402,22.9,18.08,T,270,22-5%
R50,R0402,46.65,10.33,T,90,33-5%
R14,R0402,22.9,20.18,T,270,22-5%
R52,R0402,54.63,4.7,T,0,33-5%
R15,R0402,22.9,22.43,T,90,22-5%
R79,R0402,61.05,8.8,T,270,33-5%
R16,R0402,27.68,24.46,T,180,22-5%
R80,R0402,62.28,8.33,T,270,33-5%
R17,R0402,38.28,2.68,T,180,1.2K-5%
R81,R0402,59.78,8.33,T,270,33-5%
R19,R0402,51.95,10.68,T,270,1.2K-5%
C73,C0402,64.08,7.93,T,0,470p-50V-X7R
R83,R0402,63.68,1.15,T,180,12.1K-1%
